airport,U.S
DURANGO LA PLATA CO AIRPORT,CO US
MONTROSE REGIONAL AIRPORT,CO US
PUEBLO MEMORIAL AIRPORT,CO US
HARTFORD BRADLEY INTERNATIONAL AIRPORT,CT US
NEW HAVEN TWEED AIRPORT,CT US
WILMINGTON NEW CASTLE CO AIRPORT,DE US
DAYTONA BEACH INTERNATIONAL AIRPORT,FL US
FORT LAUDERDALE INTERNATIONAL AIRPORT,FL US
GAINESVILLE REGIONAL AIRPORT,FL US
JACKSONVILLE INTERNATIONAL AIRPORT,FL US
KEY WEST INTERNATIONAL AIRPORT,FL US
MELBOURNE INTERNATIONAL AIRPORT,FL US
MIAMI INTERNATIONAL AIRPORT,FL US
NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT,FL US
ORLANDO INTERNATIONAL AIRPORT,FL US
ORLANDO SANFORD AIRPORT,FL US
WEST PALM BEACH INTERNATIONAL AIRPORT,FL US
PENSACOLA REGIONAL AIRPORT,FL US
PUNTA GORDA CHARLOTTE CO AIRPORT,FL US
SARASOTA BRADENTON AIRPORT,FL US
FORT MYERS SW FLORIDA REGIONAL AIRPORT,FL US
ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT,FL US
TALLAHASSEE REGIONAL AIRPORT,FL US
TAMPA INTERNATIONAL AIRPORT,FL US
AUGUSTA BUSH FIELD AIRPORT,GA US
COLUMBUS METROPOLITAN AIRPORT,GA US
ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT,GA US
SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT,GA US
ALBANY SW GEORGIA REGIONAL AIRPORT,GA US
VALDOSTA REGIONAL AIRPORT,GA US
GUAM INTERNATIONAL AIRPORT,GU GQ
HONOLULU INTERNATIONAL AIRPORT,HI US
KAILUA KONA KE AHOLE AIRPORT,HI US
HILO INTERNATIONAL AIRPORT 87,HI US
KAHULUI AIRPORT,HI US
LANAI AIRPORT 656,HI US
LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1,HI US
MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT,HI US
KAPALUA W. MAUI AIRPORT 462.4,HI US
DES MOINES INTERNATIONAL AIRPORT,IA US
CEDAR RAPIDS MUNICIPAL AIRPORT,IA US
WATERLOO MUNICIPAL AIRPORT,IA US
SIOUX CITY AIRPORT,IA US
DUBUQUE REGIONAL AIRPORT,IA US
MASON CITY MUNICIPAL AIRPORT,IA US
IDAHO FALLS FAA AIRPORT,ID US
LEWISTON AIRPORT,ID US
TWIN FALLS SUN VALLEY REGIONAL AIRPORT,ID US
POCATELLO REGIONAL AIRPORT,ID US
SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT,IL US
CHICAGO MIDWAY AIRPORT 3 SW,IL US
CHICAGO OHARE INTERNATIONAL AIRPORT,IL US
ROCKFORD GREATER ROCKFORD AIRPORT,IL US
GENERAL WAYNE A. DOWNING INTERNATIONAL AIRPORT,IL US
MOLINE QUAD CITY INTERNATIONAL AIRPORT,IL US
QUINCY REGIONAL AIRPORT,IL US
CHAMPAIGN URBANA WILLARD AIRPORT,IL US
DECATUR AIRPORT,IL US
EVANSVILLE REGIONAL AIRPORT,IN US
FORT WAYNE INTERNATIONAL AIRPORT,IN US
INDIANAPOLIS INTERNATIONAL AIRPORT,IN US
SOUTH BEND AIRPORT,IN US
WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT,KS US
SALINA MUNICIPAL AIRPORT,KS US
GARDEN CITY REGIONAL AIRPORT,KS US
DODGE CITY REGIONAL AIRPORT,KS US
PADUCAH BARKLEY REGIONAL AIRPORT,KY US
LEXINGTON BLUEGRASS AIRPORT,KY US
CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT,KY US
LOUISVILLE INTERNATIONAL AIRPORT,KY US
ALEXANDRIA INTERNATIONAL AIRPORT,LA US
BATON ROUGE METRO AIRPORT,LA US
LAFAYETTE REGIONAL AIRPORT,LA US
LAKE CHARLES REGIONAL AIRPORT,LA US
NEW ORLEANS AIRPORT,LA US
MONROE REGIONAL AIRPORT,LA US
SHREVEPORT AIRPORT,LA US
BOSTON LOGAN INTERNATIONAL AIRPORT,MA US
WORCESTER REGIONAL AIRPORT,MA US
VINEYARD HAVEN MARTHAS VINEYARD AIRPORT,MA US
NANTUCKET MEMORIAL AIRPORT,MA US
HYANNIS BARNSTABLE MUNICIPAL AIRPORT,MA US
BALTIMORE WASHINGTON INTERNATIONAL AIRPORT,MD US
HAGERSTOWN REGIONAL AIRPORT,MD US
SALISBURY WICOMICO REGIONAL AIRPORT,MD US
BANGOR INTERNATIONAL AIRPORT,ME US
ALPENA CO REGIONAL AIRPORT,MI US
LANSING CAPITAL CITY AIRPORT,MI US
TRAVERSE CITY CHERRY CAPITAL AIRPORT,MI US
DETROIT METRO AIRPORT,MI US
IRON MOUNTAIN FORD AIRPORT,MI US
GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT,MI US
HANCOCK HOUGHTON CO AIRPORT,MI US
KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT,MI US
SAGINAW MBS INTERNATIONAL AIRPORT,MI US
MUSKEGON CO AIRPORT,MI US
PELLSTON REGIONAL AIRPORT,MI US
MARQUETTE WEATHER SERVICE OFFICE AIRPORT,MI US
BRAINERD CROW WING CO AIRPORT,MN US
DULUTH INTERNATIONAL AIRPORT,MN US
INTERNATIONAL FALLS INTERNATIONAL AIRPORT,MN US
MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT,MN US
HIBBING CHISHOLM HIBBING AIRPORT,MN US
ROCHESTER INTERNATIONAL AIRPORT,MN US
ST. CLOUD REGIONAL AIRPORT,MN US
COLUMBIA REGIONAL AIRPORT,MO US
KANSAS CITY INTERNATIONAL AIRPORT,MO US
SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT,MO US
ST LOUIS LAMBERT INTERNATIONAL AIRPORT,MO US
CAPE GIRARDEAU MUNICIPAL AIRPORT,MO US
JOPLIN REGIONAL AIRPORT,MO US
GULFPORT BILOXI AIRPORT,MS US
JACKSON INTERNATIONAL AIRPORT,MS US
BUTTE BERT MOONEY AIRPORT,MT US
BILLINGS INTERNATIONAL AIRPORT,MT US
BOZEMAN GALLATIN FIELD AIRPORT,MT US
KALISPELL GLACIER AIRPORT,MT US
GREAT FALLS AIRPORT,MT US
HELENA AIRPORT ASOS,MT US
MISSOULA INTERNATIONAL AIRPORT,MT US
ASHEVILLE AIRPORT,NC US
CHARLOTTE DOUGLAS AIRPORT,NC US
NEW BERN COASTAL CAROLINA REGIONAL AIRPORT,NC US
FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD,NC US
GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT,NC US
RALEIGH DURHAM INTERNATIONAL AIRPORT,NC US
WILMINGTON INTERNATIONAL AIRPORT,NC US
BISMARCK MUNICIPAL AIRPORT,ND US
DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT,ND US
GRAND FORKS INTERNATIONAL AIRPORT,ND US
FARGO HECTOR INTERNATIONAL AIRPORT,ND US
JAMESTOWN MUNICIPAL AIRPORT,ND US
MINOT INTERNATIONAL AIRPORT,ND US
DEVILS LAKE MUNICIPAL AIRPORT,ND US
WILLISTON AIRPORT,ND US
GRAND ISLAND CENTRAL NE REGIONAL AIRPORT,NE US
LINCOLN AIRPORT,NE US
SCOTTSBLUFF W B HEILIG FIELD AIRPORT,NE US
NORTH PLATTE REGIONAL AIRPORT,NE US
MANCHESTER AIRPORT,NH US
ATLANTIC CITY INTERNATIONAL AIRPORT,NJ US
NEWARK LIBERTY INTERNATIONAL AIRPORT,NJ US
TRENTON MERCER AIRPORT,NJ US
ALBUQUERQUE INTERNATIONAL AIRPORT,NM US
SANTA FE CO MUNICIPAL AIRPORT,NM US
ELKO REGIONAL AIRPORT,NV US
MCCARRAN INTERNATIONAL AIRPORT,NV US
RENO AIRPORT,NV US
ALBANY INTERNATIONAL AIRPORT,NY US
ELMIRA CORNING REGIONAL AIRPORT,NY US
JFK INTERNATIONAL AIRPORT,NY US
LAGUARDIA AIRPORT,NY US
ISLIP LI MACARTHUR AIRPORT,NY US
NIAGARA FALLS INTERNATIONAL AIRPORT,NY US
PLATTSBURGH INTERNATIONAL AIRPORT,NY US
SYRACUSE HANCOCK INTERNATIONAL AIRPORT,NY US
WESTCHESTER CO AIRPORT,NY US
WATERTOWN AIRPORT,NY US
AKRON CANTON AIRPORT,OH US
CLEVELAND HOPKINS INTERNATIONAL AIRPORT,OH US
TOLEDO EXPRESS AIRPORT,OH US
DAYTON INTERNATIONAL AIRPORT,OH US
JOHN GLENN INTERNATIONAL AIRPORT,OH US
YOUNGSTOWN WARREN REGIONAL AIRPORT,OH US
TULSA INTERNATIONAL AIRPORT,OK US
OKLAHOMA CITY WILL ROGERS WORLD AIRPORT,OK US
STILLWATER REGIONAL AIRPORT,OK US
LAWTON MUNICIPAL AIRPORT,OK US
PORTLAND INTERNATIONAL AIRPORT,OR US
REDMOND AIRPORT,OR US
MEDFORD INTERNATIONAL AIRPORT,OR US
NORTH BEND SOUTHWEST OREGON REGIONAL AIRPORT,OR US
ERIE INTERNATIONAL AIRPORT,PA US
MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT,PA US
ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT,PA US
PHILADELPHIA INTERNATIONAL AIRPORT,PA US
PITTSBURGH INTERNATIONAL AIRPORT,PA US
WILKES BARRE SCRANTON INTERNATIONAL AIRPORT,PA US
WILLIAMSPORT REGIONAL AIRPORT,PA US
JOHNSTOWN CAMBRIA CO AIRPORT,PA US
SAN JUAN L M MARIN INTERNATIONAL AIRPORT,PR US
RHODE ISLAND T.F. GREEN INTERNATIONAL AIRPORT,RI US
CHARLESTON INTL. AIRPORT,SC US
COLUMBIA METROPOLITAN AIRPORT,SC US
GRNVL SPART INTERNATIONAL AIRPORT,SC US
FLORENCE REGIONAL AIRPORT,SC US
ABERDEEN REGIONAL AIRPORT,SD US
RAPID CITY REGIONAL AIRPORT,SD US
WATERTOWN REGIONAL AIRPORT,SD US
PIERRE REGIONAL AIRPORT,SD US
CHATTANOOGA AIRPORT,TN US
KNOXVILLE AIRPORT,TN US
MEMPHIS INTERNATIONAL AIRPORT,TN US
NASHVILLE INTERNATIONAL AIRPORT,TN US
BRISTOL AIRPORT,TN US
AUSTIN BERGSTROM INTERNATIONAL AIRPORT,TX US
BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT,TX US
CORPUS CHRISTI INTERNATIONAL AIRPORT,TX US
DAL FTW WSCMO AIRPORT,TX US
EL PASO INTERNATIONAL AIRPORT,TX US
HOUSTON INTERCONTINENTAL AIRPORT,TX US
LAREDO INTERNATIONAL AIRPORT,TX US
LUBBOCK INTERNATIONAL AIRPORT,TX US
MCALLEN MILLER INTERNATIONAL AIRPORT,TX US
MIDLAND INTERNATIONAL AIRPORT,TX US
AMARILLO AIRPORT,TX US
SAN ANTONIO INTERNATIONAL AIRPORT,TX US
HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT,TX US
HOUSTON WILLIAM P HOBBY AIRPORT,TX US
WICHITA FALLS MUNICIPAL AIRPORT,TX US
WACO REGIONAL AIRPORT,TX US
SAN ANGELO MATHIS FIELD AIRPORT,TX US
LONGVIEW E TX REGIONAL AIRPORT,TX US
PORT ARTHUR SE TX REGIONAL AIRPORT,TX US
ABILENE REGIONAL AIRPORT,TX US
DEL RIO INTERNATIONAL AIRPORT,TX US
VICTORIA REGIONAL AIRPORT,TX US
CEDAR CITY AIRPORT,UT US
OGDEN HINKLEY AIRPORT,UT US
SALT LAKE CITY INTERNATIONAL AIRPORT,UT US
VERNAL MUNICIPAL AIRPORT,UT US
MOAB CANYONLAND AIRPORT,UT US
CHARLOTTESVILLE ALBEMARLE AIRPORT,VA US
NEWPORT NEWS INTERNATIONAL AIRPORT,VA US
NORFOLK INTERNATIONAL AIRPORT,VA US
RICHMOND INTERNATIONAL AIRPORT,VA US
ROANOKE BLACKSBURG REGIONAL AIRPORT,VA US
WASHINGTON REAGAN NATIONAL AIRPORT,VA US
WASHINGTON DULLES INTERNATIONAL AIRPORT,VA US
LYNCHBURG REGIONAL AIRPORT,VA US
CYRIL E. KING AIRPORT,VI US
HENRY E. ROHLSEN AIRPORT,VI US
BURLINGTON INTERNATIONAL AIRPORT,VT US
BELLINGHAM INTERNATIONAL AIRPORT,WA US
WENATCHEE PANGBORN MEMORIAL AIRPORT,WA US
PULLMAN MOSCOW REGIONAL AIRPORT,WA US
SEATTLE TACOMA AIRPORT,WA US
SPOKANE INTERNATIONAL AIRPORT,WA US
PASCO TRI CITIES AIRPORT,WA US
WALLA WALLA REGIONAL AIRPORT,WA US
YAKIMA AIRPORT,WA US
EVERETT SNOHOMISH CO AIRPORT,WA US
CHIPPEWA VALLEY REGIONAL AIRPORT,WI US
MADISON DANE CO REGIONAL AIRPORT,WI US
GREEN BAY A S INTERNATIONAL AIRPORT,WI US
LA CROSSE MUNICIPAL AIRPORT,WI US
MILWAUKEE MITCHELL AIRPORT,WI US
RHINELANDER ONEIDA CO AIRPORT,WI US
CLARKSBURG BENEDUM AIRPORT,WV US
HUNTINGTON TRI STATE AIRPORT,WV US
CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT,WV US
CASPER NATRONA CO AIRPORT,WY US
GILLETTE CAMPBELL CO AIRPORT,WY US
LARAMIE AIRPORT,WY US
ROCK SPRINGS AIRPORT,WY US
SHERIDAN AIRPORT,WY US
RIVERTON REGIONAL AIRPORT,WY US
CHEYENNE WSFO AIRPORT,WY US
